participant_id,Q6,Q7,Q8,Q9,DM_SCORE,OPEN_SCORE,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex
60f68b0a260dc97aee69c03e,4,2,5,3,3.25,1,26,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5fcd410d5395091ccc87449c,4,2,3,4,3.3,2,20,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male
612ccc537fd00ae8b3e8b95f,4,3,4,2,3.31,4,23,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
607f255b8b9e7651da1e8858,5,3,5,3,3.33,2,23,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
60ca883c03ff81263967f06a,3,4,3,2,3.34,1,22,Portugal,Portugal,Other,Portuguese,"Spanish, Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
61465149835949882116b8c4,4,3,2,4,3.39,2,20,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Non-binary (would like to give more detail),High school diploma/A-levels,Portugal,Female
610168856591c36253f77248,4,2,2,2,3.41,4,26,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
5ba0cc4dbabc5b00015e42f3,4,2,3,2,3.43,1,41,Portugal,Portugal,Full-Time,Portuguese,English,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
60b3576258dd0303232cb158,3,1,1,4,3.44,3,23,Italy,Italy,Other,Italian,"English, Italian",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
6140f1c4ead758f1b72bbe2f,5,4,5,4,3.46,4,22,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
61641b8573a9dcd29ba9d87b,4,2,2,3,3.46,2,20,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
60f5a332d13bb868d7724c52,4,1,1,2,3.49,1,34,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5f6132f075b3fa0ac649fd3c,4,2,1,3,3.51,5,24,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
5fdebabfb5d1fc684adaa1f9,5,4,4,2,3.53,3,24,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
5f8b031f5f71b109548721bd,4,3,2,4,3.59,2,21,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5eabf42cdcb6170008b06667,5,4,2,2,3.59,3,28,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
5c522508fcbef20001939a03,4,2,1,2,3.62,1,25,France,Portugal,Full-Time,Portuguese,"English, French, Italian, Portuguese, Spanish, German, Galician",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
602691763444df34d0917731,4,4,3,4,3.65,5,19,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
609efef2eacb048e063448cb,4,3,4,2,3.65,4,21,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5ed6d66c4ddb96153b704550,4,3,4,2,3.7,5,21,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male
5f9596b90d459d406163a767,4,2,3,2,3.7,2,20,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male
6134fe6f036b9de4fb216cb2,5,4,2,2,3.74,4,23,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male
60af88a18ec7e63ce70606a7,5,4,4,4,3.83,5,22,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
5ecd600061398f0bffb5ccef,4,4,4,4,3.85,5,24,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
60897f1469ae6000c3d7c537,4,4,2,2,3.85,2,24,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
61228d9531e3fd084f5d5067,4,2,2,2,3.94,2,27,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
5e9dd814910d621387801b01,4,1,3,2,3.94,2,22,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Portugal,Female
60fca5af374ff4b335041fc3,5,4,5,2,3.99,2,18,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Non-binary (would like to give more detail),High school diploma/A-levels,Portugal,Female
608bb6544e29801f4cac1c2d,5,3,3,3,3.99,5,26,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
605c984fb45a5c4f390a8c6b,4,4,4,4,4.0,5,25,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5d39dd63c49dae00016065c7,4,4,4,4,4.01,5,21,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
5b6dada03ce3ab0001fd077c,5,2,2,3,4.05,4,28,Italy,Italy,Full-Time,Italian,"French, Spanish, Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
615da7549e575b94827b81ab,3,2,4,4,4.08,3,30,Portugal,Portugal,Full-Time,Portuguese,"English, Spanish, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
60bd04a3749e1ca47e54d3e1,2,1,1,2,4.09,2,22,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male
5ef698a927c8ea38d5bcc192,4,2,2,2,4.12,2,25,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5f5135b9e2b058337c95383f,5,4,5,3,4.14,3,25,Italy,Italy,Other,Italian,"Italian, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male
611fce73e0a46ebc8e4b90a5,4,4,5,4,4.14,4,21,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5a4a652366e7880001de63a1,4,4,3,2,4.14,4,29,Italy,Italy,Full-Time,Italian,"English, Italian, French",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Italy,Male
605663e5147a7b66e6853a0b,4,4,4,3,4.17,1,23,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
60be2982c100aa0ce4800279,5,4,3,4,4.17,2,20,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
6145dddfa6fcfd396e1f4f1a,4,2,3,2,4.19,1,20,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male
60a7bbccd9d7527d7db5e395,3,4,4,3,4.25,2,20,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
5c7c3909042bf900012ab4d1,4,4,2,2,4.25,4,30,Portugal,Portugal,Full-Time,Portuguese,English,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
6166e78051425fa22de68491,4,2,2,3,4.3,3,21,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, French, Spanish, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
5e939cd2bae84a6e6e0d9b1a,5,3,2,4,4.31,3,23,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Portugal,Female
5fb3d4024e5665000a941d9d,4,3,3,2,4.31,2,23,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female
60e12640be1b69b66053d55b,5,4,3,4,4.38,1,20,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
5c45ad3793f3690001c46767,4,3,4,2,4.39,4,41,Italy,Italy,Full-Time,Italian,"Italian, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Italy,Male
5c39af407aa30a0001ffac91,5,4,4,2,4.44,1,24,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female
5dee6f4d3b1c9450c5d126fc,5,4,4,2,4.45,3,30,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male
60c939c438c389b49847c08b,5,3,3,2,4.45,5,21,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
607986447baf44d005eeb875,4,4,2,3,4.48,5,21,Portugal,Portugal,Due to start a new job within the next month,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Female
611cf2fd04c64ae9781b55e5,4,2,2,2,4.49,3,23,Italy,Italy,Other,Italian,"Italian, English, Spanish, German",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female
60a44015d0ff9f3d81a1a1c8,4,3,2,3,4.5,5,18,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female
5fb680f7e13f87000aa59a9a,5,3,3,4,4.55,4,19,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese",Non-binary (would like to give more detail),High school diploma/A-levels,Portugal,Female
6076dfb3ec881562b02b03a7,4,2,3,3,4.56,1,24,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
5fda8761cffa3b71e6d684bf,4,4,4,2,4.59,5,25,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
61141c855eb58d6a4e3d8d5b,5,3,4,2,4.59,5,25,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female
5ea1c3f3e9fb240a9b243e18,4,4,5,2,4.61,4,30,Italy,Italy,Full-Time,Italian,"English, Italian, Portuguese, Polish, French",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
61099ed3d23b7e38349fcc01,5,4,5,4,4.62,4,22,Portugal,Portugal,Part-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
60ecb272881f8d801283984e,4,4,4,3,4.62,4,26,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male
605c5e1a8f580f980677f3d9,5,2,3,3,4.75,3,26,Spain,Spain,Full-Time,Spanish,"Italian, English, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female
5ea718879d28c80bf38bcb7f,4,3,2,2,4.83,3,32,Italy,Italy,Full-Time,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female
60e504dc5f86f5b0e2eb6d17,4,4,4,3,4.86,3,19,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
612a804d1772460dc0856e5a,5,3,2,3,4.91,4,31,Portugal,Portugal,Full-Time,Portuguese,"French, Portuguese, Spanish, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female
5d8346167ed176001888204d,4,1,1,2,4.96,1,36,Portugal,Portugal,Full-Time,Portuguese,"English, Spanish, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male
610afb895c8cef9f6ec1ac6a,4,2,4,3,4.97,4,28,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female
